Konum,ResimUrl
Žižkov Televizyon Kulesi,https://cdn.getyourguide.com/img/tour/63bd88cd6a093.jpeg/146.jpg
Prag Estates Tiyatrosu,https://navicup.com//upload/map-files/images/2165/image_142.png
Staroměstská saat kulesi,https://st2.depositphotos.com/6787284/11608/i/450/depositphotos_116085516-stock-photo-prague-astronomical-clock.jpg
Náměstí Míru Meydanı,https://media.istockphoto.com/id/1282568473/photo/catholic-church-gothic-cathedral-of-st-ludmila-at-peace-square-vinohrady-quarter-in-the.jpg?s=612x612&w=is&k=20&c=Pm5izyfcLPEvl8GqUNjBAtGU8aHyLG9Nigyx_Ne4LG4=
Dancing House,https://www.dancinghousehotel.com/files-sbbasic/sr_dancinghousehotel_com/2016_04_14_4970_5ds_r.jpg?w=506
Prag Bahar Festivali,https://mediap.flypgs.com/850//files/etkinlik_gorselleri/Prag-Bahar--Muzik-Festivali-2000px.jpg
Gün Batımı Restoranı,https://media-cdn.tripadvisor.com/media/photo-s/06/38/5b/78/getlstd-property-photo.jpg
Kaiser Wilhelm Memorial Kilisesi,https://cdn.pixabay.com/photo/2021/10/12/15/59/kaiser-wilhelm-memorial-church-6703916_640.jpg
Berlin Duvarı Anıtı,https://media-cdn.tripadvisor.com/media/photo-s/06/e2/82/48/berlin-duvari-aniti.jpg
Deutsches Technikmuseum Berlin,https://www.erco.com/images/deutsches-technikmuseum-berlin-6352/usa-erco-deutsches-technikmuseum-berlin-intro-5-15.jpg
Brandenburg Kapısı: https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Brandenburger_Tor_abends.jpg/800px-Brandenburger_Tor_abends.jpg
Berlin Katedrali: https://www.berlin.de/binaries/asset/image_assets/6431736/source/1643977486/1000x500/
Altes Müzesi: https://www.museumsinsel-berlin.de/fileadmin/user_upload/gebaeude/altes_museum/am_teaser.jpg
Berlin Hayvanat Bahçesi: https://st3.depositphotos.com/6268724/14662/i/450/depositphotos_146620697-stock-photo-entrance-to-the-berlin-zoological.jpg
Sovyet Savaş Anıtı: https://cdn.getyourguide.com/img/tour/5d6d13a9b46c8.jpeg/97.jpg
Berlin Filarmoni: https://images.adsttc.com/media/images/5037/fabf/28ba/0d59/9b00/0766/newsletter/stringio.jpg?1414206709
Kurfürstendamm: https://www.visitberlin.de/system/files/styles/visitberlin_content_image_medium_visitberlin_mobile_1x/private/image/_MG_8416_DL_PPT_0.jpg?itok=9bCZZNgq
KaDeWe: https://www.across-magazine.com/wp-content/uploads/2023/10/KaDeWe-740x400-1.png
Friedrichstraße: https://www.visitberlin.de/system/files/styles/visitberlin_content_image_medium_visitberlin_mobile_1x/private/image/BTM_c_Scholvien.%28357%29_DL_PPT_2.jpg?itok=0-s7yygy
Berlinische Galerie: https://www.visitberlin.de/system/files/styles/visitberlin_content_image_medium_visitberlin_mobile_1x/private/image/Ausstellungsraum_c_Berlinische_Galerie_Foto_Noshe_0.jpg?itok=9RT4yvY2
Berliner Dom: https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Berliner_Dom_von_Humboldt-Box_%2850MP%29.jpg/640px-Berliner_Dom_von_Humboldt-Box_%2850MP%29.jpg
Yahudi Anıtı: https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Memorial_to_the_murdered_Jews_of_Europe.jpg/800px-Memorial_to_the_murdered_Jews_of_Europe.jpg
Mercedes-Benz Müzesi: https://live.staticflickr.com/4094/4748025703_830473f93e_w.jpg
C/O Berlin: https://www.co-berlin.org/sites/default/files/styles/ct_landingpage_layout_visit/public/2021-01/_VB_0096_Bookshop_DvB.jpg?itok=was5XjSg
Resim bulunamadi: Sony Center
Tiergarten: https://www.visitberlin.de/system/files/styles/visitberlin_bleed_header_visitberlin_mobile_1x/private/image/Siegessauele_Tiergarten_c_Scholvien%20%2837%29_web.jpg?h=2e4af638&itok=kEArcbEf
Friedrichstraße: https://www.visitberlin.de/system/files/styles/visitberlin_content_image_medium_visitberlin_mobile_1x/private/image/BTM_c_Scholvien.%28357%29_DL_PPT_2.jpg?itok=0-s7yygy
Gellért Termal Hamamları: https://media-cdn.tripadvisor.com/media/photo-s/0b/9f/e9/17/dsc00284-1-01-largejpg.jpg
Dohány Sokağı Sinagogu: https://www.shutterstock.com/image-photo/08302022-budapest-hungary-inside-dohany-600nw-2195664343.jpg
Váci Caddesi: https://gezimanya.com/sites/default/files/styles/800x600_/public/gezilecek-yerler/2021-07/vaci-utca.jpg
Hősök tere: https://media.tacdn.com/media/attractions-splice-spp-674x446/0b/27/5b/3b.jpg
Macaristan Parlamento Binası: https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/HUN-2015-Budapest-Hungarian_Parliament_%28Budapest%29_2015-02.jpg/640px-HUN-2015-Budapest-Hungarian_Parliament_%28Budapest%29_2015-02.jpg
Margit Adası: https://www.gpsmycity.com/img/gd/1467.jpg
Macar Devlet Operası: https://www.bizevdeyokuz.com/wp-content/uploads/budapeste-macaristan-devlet-opera-binasi.jpg
St. Stephen's Bazilikası: https://en.pimg.jp/097/124/170/1/97124170.jpg
Fisherman's Bastion: https://www.historyhit.com/app/uploads/bis-images/5156477/Fishermans-Bastion-788x537.jpg?x42209
Budapest Alışveriş Merkezi: https://media-cdn.tripadvisor.com/media/photo-s/17/ef/c8/ba/kentpark-alisveris-merkezi.jpg
St. Stephen's Basilica: https://budapestconcert.com/wp-content/uploads/2016/11/Basilica-by-M-Petravsko-640x330.jpg
Macaristan Milli Galerisi: https://cdn.ytur.net/fit-in/697x465/filters:quality(100)/filters:format(webp)/post/macar-ulusal-galerisi-230218-135526-5333.jpg
Millennium Anıtı: https://img.edilportale.com/product-thumbs/h_MILLENNIUM-BAGATTINI-528446-rel628bf294.jpg
Budapeşte Hayvanat Bahçesi: https://st3.depositphotos.com/9251182/15470/i/450/depositphotos_154708958-stock-photo-a-group-of-giraffes-eating.jpg
Városliget Parkı: https://media.tacdn.com/media/attractions-splice-spp-674x446/0b/27/a5/7f.jpg
Budapeşte Zincir Köprüsü: https://www.bizevdeyokuz.com/wp-content/uploads/chain-bridge-budapeste-gunduz1.jpg
Tramvay No: 2: https://i0.shbdn.com/photos/28/56/79/x5_1129285679ajf.jpg
Dreher Bira Fabrikası: https://media-cdn.tripadvisor.com/media/photo-s/09/02/0e/47/sarajevska-pivara.jpg
Szimpla Kert: https://ruinbarsbudapest.com/wp-content/uploads/2016/06/Szimpla-Kert-Ruin-Bar-Budapest-1.png
Szent István Tér: https://i.pinimg.com/originals/07/2f/22/072f2281bb5d65ec89a8e041f6bbfa23.jpg
Dublin Kalesi: https://cdn.ytur.net/fit-in/697x465/filters:quality(100)/filters:format(webp)/post/dublin-kalesi-220403-210338-6662.jpg
Ulusal Müze: https://www.interbustur.com/wp-content/uploads/2017/11/prag-ulusal-m%C3%BCzesi.jpg
Grafton Street: https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Grafton_St%2C_Dublin.jpg/640px-Grafton_St%2C_Dublin.jpg
Christ Church Katedrali: https://media.istockphoto.com/id/463087837/photo/baroque-jesus-church-palermo-italy.jpg?s=612x612&w=0&k=20&c=EtMGiPpxO-uRbUHHeHR1Uyz8_HVz0V__beF8mudk-2c=
Halfpenny Köprüsü: https://upload.wikimedia.org/wikipedia/commons/b/b4/Halfpenny_Bridge%2C_Lechlade.jpg
Phoenix Parkı: https://www.phoenix.gov/piosite/MediaAssets/FinalFourArt/ff_parking.jpg
Dame Meydanı: https://www.airpano.com/files/paris-france/image3a.jpg
Henry Street: https://www.henrystreet.org/wp-content/uploads/2019/12/About-Headquarters-2020-Web-Banner-Update.jpg
Temple Bar: https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/5b/0b/b1/reception.jpg?w=700&h=-1&s=1
Trinity College: https://www.usnews.com/dims4/USNEWS/9f8a2a4/17177859217/resize/800x540%3E/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd8%2F7205b4fda70c0b11adcec794bd15fc%2Fcollege-photo_23697.jpg
Ulusal Galeri: https://gezimanya.com/sites/default/files/styles/800x600_/public/gezilecek-yerler/2020-01/national-gallery1.jpg
Liberty Hall: https://factoryatfranklin.com/wp-content/uploads/2023/05/Liberty_Hall_29_1.jpg
Dublin Sightseeing: https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/a9/97/48/trinity-college.jpg?w=500&h=400&s=1
Dublin Grand Opera House: https://www.virtualvisittours.com/wp-content/uploads/2013/03/The-Grand-Opera-House.jpg
Sandymount Sahili: https://image.hurimg.com/i/hurriyet/75/770x0/62209b134e3fe01fa45b694e.jpg
Herbert Parkı: https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/1c/63/ce/herbert-park-hotel-and.jpg?w=700&h=-1&s=1
Ilac Alışveriş Merkezi: https://i.pinimg.com/736x/39/69/41/39694196bfd2a2662fac14d57b5d0f74.jpg
The Cobblestone: https://www.spottedbylocals.com/dublin/files/the-cobblestone-dublin-by-ginger-greenidge.jpg
Dublin Hayvanat Bahçesi: https://cdn.ytur.net/fit-in/697x465/filters:quality(100)/filters:format(webp)/post/dublin-hayvanat-bahcesi-220403-210413-7071.jpg
Howth Kafa: https://st4.depositphotos.com/1064024/20638/i/450/depositphotos_206380360-stock-photo-howth-head-baily-lighthouse-dublin.jpg
Rynek Główny: https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Sukiennice_and_Main_Market_Square_Krakow_Poland.JPG/640px-Sukiennice_and_Main_Market_Square_Krakow_Poland.JPG
Wawel Katedrali: https://cdn.ytur.net/fit-in/697x465/filters:quality(100)/filters:format(webp)/post/wawel-katedrali-220324-183030-8932.jpg
Ulusal Müze, Krakow: https://cdn.getyourguide.com/img/tour/60d46174b4a5a.jpeg/146.jpg
Wawel Kalesi: https://cdn.getyourguide.com/img/tour/604a227e4cd8c.jpeg/146.jpg
Krakow Alışveriş Merkezi: http://www.polonyadan.com/wp-content/uploads/2011/05/galeria_krakowska.jpg
Mariacki Kilisesi: https://media.istockphoto.com/id/1954865001/photo/st-mary-church-is-a-syriac-orthodox-church-in-diyarbakir-diyarbakir-turkey.jpg?s=612x612&w=0&k=20&c=3KHWyZu_XPbLgu6c1AOmbPxIfrauCQx7FzMhspKSubM=
Jordan Parkı: https://reservations.co.portage.wi.us/parks/i/li/l__jordan_park_entrance.jpg
Kryspinów Gölü: https://cdn.getyourguide.com/img/tour/7f603b6cf0373815.jpeg/146.jpg
Kazimierz Mahallesi: https://cdn.getyourguide.com/img/tour/60f93cc58cb40.jpeg/146.jpg
Anıt Meydanı: https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=1946148092097492
Sukiennice Meydan Çeşmesi: https://cdn.getyourguide.com/img/tour/5d1b6495064f8.jpeg/146.jpg
Krakow Sightseeing: https://discovercracow.com/sites/all/pliki/styles/colorbox_obraz_powiekszony/public/obrazy_tekst/krakow-or-warsaw-4-768x498.jpg?itok=TU5ZDd-D
St. Mary's Kilisesi: https://www.shutterstock.com/image-photo/istanbul-december-25-church-st-260nw-1051463300.jpg
Galeria Krakowska: https://media-cdn.tripadvisor.com/media/photo-s/1b/3e/30/44/galeria-krakowska.jpg
Pod Wawelem Pub: https://media-cdn.tripadvisor.com/media/photo-s/0e/db/15/ac/pod-wawelem.jpg
Wierzynek Restoranı: https://media-cdn.tripadvisor.com/media/photo-s/0b/02/1a/c5/wierzynek-s-room.jpg
Bulwar Wiślany: https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Bulwary_wi%C5%9Blane_w_Warszawie_2017a.jpg/640px-Bulwary_wi%C5%9Blane_w_Warszawie_2017a.jpg
Sukiennice Kulesi: https://www.shutterstock.com/image-photo/konak-square-street-view-old-260nw-1540990709.jpg
Galeria Sztuki Współczesnej Bunkier Sztuki: https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Gallery_of_Contemporary_Art_%22Bunkier_Sztuki%22%2C_1965_design._Krystyna_Rozyska-Tolloczko%2C_3a_Szczepa%C5%84ski_square%2C_Old_Town%2C_Krakow%2C_Poland.jpg/800px-Gallery_of_Contemporary_Art_%22Bunkier_Sztuki%22%2C_1965_design._Krystyna_Rozyska-Tolloczko%2C_3a_Szczepa%C5%84ski_square%2C_Old_Town%2C_Krakow%2C_Poland.jpg
Las Wolski: https://media.tacdn.com/media/attractions-splice-spp-674x446/0b/39/8f/b4.jpg
Galleria Nazionale d'Arte Moderna: https://www.wantedinrome.com/i/preview/storage/uploads/2014/11/c1u7o801k.jpg
Palace Meydanı: https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Turkish_and_Islamic_Arts_Museum_01.jpg/640px-Turkish_and_Islamic_Arts_Museum_01.jpg
Hermitage Müzesi: https://www.shutterstock.com/image-photo/palace-square-view-winter-which-260nw-2258660671.jpg
St. Isaac Katedrali: http://www.saint-petersburg.com/images/cathedrals/st-isaacs-cathedral/st-isaacs-cathedral-in-st-petersburg.jpg
Palace Köprüsü: http://www.saint-petersburg.com/images/bridges/palace-bridge/palace-bridge-in-st-petersburg.jpg
Nevsky Prospekt: http://www.saint-petersburg.com/images/virtual-tour/nevsky-prospect.jpg
Aleksandrovskiy Bahçesi: https://www.shutterstock.com/image-photo/view-on-moscow-red-square-600nw-672563596.jpg
Mariinsky Tiyatrosu: http://visit.spb.ru/wp-content/uploads/2016/05/mar3.jpg
Avtovo Metro İstasyonu: https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Metro_SPB_Line1_Avtovo.jpg/800px-Metro_SPB_Line1_Avtovo.jpg
Anıt Meydanı: https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=1946148092097492
Summer Sarayı: https://i.pinimg.com/564x/81/c1/aa/81c1aa9b5ce1a6b11ddf0716eba4542a.jpg
İsaakievskaya Meydanı: https://st4.depositphotos.com/1053778/24882/i/450/depositphotos_248826058-stock-photo-palace-square-and-triumfalnaya-arka.jpg
Grand Peterhof Çeşmesi: https://st2.depositphotos.com/1000948/10360/i/450/depositphotos_103604190-stock-photo-grand-cascade-in-peterhof-st.jpg
Mariinsky Tiyatrosu: http://visit.spb.ru/wp-content/uploads/2016/05/mar3.jpg
Lenexpo Sergi Merkezi: https://img.yumpu.com/4315658/1/500x640/euro-fair-statistics-ufi.jpg
Petrogradskaya Plajı: https://st4.depositphotos.com/8296186/41004/i/450/depositphotos_410040688-stock-photo-monument-of-empress-elizabeth-in.jpg
Aurora Sineması: https://i.ytimg.com/vi/8-nRupBAiik/sddefault.jpg
Metro Club: https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_400,q_75,w_720/v1/crm/demo/metro_4dd32989-5056-854c-b6ddd17a69e34477.jpg
Palkin Restoran: http://www.saint-petersburg.com/images/dining/palkin/palkin-st-petersburg.jpg
StereoPub: https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=608706117612946
Money Honey Gece Kulübü: https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/5d/d3/3f/gece-havuz-manzarasi.jpg?w=700&h=-1&s=1
Kopenhag Sofra Restoranı: http://satedepicure.com/wp-content/uploads/2012/01/Sofra-Front-Counter.jpg
